PRECIPITACAO_TOTAL_HORARIO_mm,TEMPERATURA_DO_AR_BULBO_SECO_HORARIA,UMIDADE_RELATIVA_DO_AR_HORARIA_porcent,VENTO_DIRECAO_HORARIA
5.8,25.7,65.0,291.0
0.0,26.1,58.0,301.0
0.0,27.2,54.0,295.0
0.0,25.3,65.0,325.0
0.0,23.9,67.0,316.0
0.0,23.8,68.0,325.0
0.0,22.4,75.0,334.0
0.6,21.0,87.0,343.0
0.0,20.3,89.0,349.0
0.0,19.6,91.0,331.0
0.0,19.7,90.0,340.0
0.2,19.5,90.0,328.0
0.2,19.5,90.0,319.0
6.0,19.3,92.0,249.0
5.2,19.1,93.0,356.0
2.4,18.6,93.0,330.0
1.6,18.3,93.0,351.0
0.6,18.3,93.0,345.0
0.0,18.6,92.0,341.0
0.0,19.5,90.0,337.0
0.0,20.4,86.0,324.0
0.2,22.1,82.0,330.0
0.0,22.5,78.0,328.0
0.0,22.9,74.0,329.0
0.0,23.6,72.0,327.0
0.0,24.3,68.0,312.0
0.0,25.0,61.0,321.0
0.0,26.3,61.0,305.0
0.0,24.2,63.0,303.0
0.0,23.9,65.0,308.0
0.0,22.4,74.0,319.0
0.0,21.3,83.0,352.0
0.0,20.7,89.0,353.0
0.0,20.6,90.0,324.0
0.0,20.3,91.0,352.0
0.0,20.1,90.0,344.0
0.0,19.6,92.0,348.0
0.0,19.5,93.0,328.0
0.0,19.4,93.0,325.0
0.0,19.4,93.0,336.0
0.8,19.3,93.0,300.0
5.4,19.0,94.0,345.0
8.2,18.7,94.0,335.0
5.6,19.0,94.0,329.0
3.8,19.4,94.0,324.0
0.6,21.1,88.0,330.0
0.0,22.8,75.0,329.0
0.0,23.6,74.0,321.0
0.0,24.7,67.0,320.0
0.0,26.8,60.0,322.0
0.0,25.3,65.0,303.0
0.0,25.3,64.0,317.0
0.0,23.0,73.0,307.0
0.2,22.9,75.0,315.0
0.0,20.9,83.0,310.0
0.0,20.4,87.0,329.0
